pmid	yearPublished	monthPublished	pmidRetraction	yearRetracted	monthRetracted	retractionType
11571675	2001		12211159	2002	Apr	RetractionIn
11577230	2001	Sep	12730577	2003	May	RetractionIn
11607026	2001	Oct	12621440	2003	Mar	RetractionIn
11607027	2001	Oct	16572178	2006	Mar	RetractionIn
11642338	2001	Jun	12498326	2002	Jan	RetractionIn
11675329	2001	Nov	19264926	2009	Mar	RetractionIn
11677603	2001	Oct	12621439	2003	Mar	RetractionIn
11696542	2002	Jan	17939190	2007	Sep	PartialRetractionIn
11700549	2001	Nov	18322536	2008	Mar	RetractionIn
11701891	2001	Dec	12416506	2002	Nov	RetractionIn
11708015	2001	Oct	12008663	2002	Apr	RetractionIn
11708844	2001	Nov	14703685	2003	Mar	RetractionIn
11711437	2001	Nov	12269264	2002	Aug	RetractionIn
11714793	2001	Dec	21289315	2011	Feb	RetractionIn
11714798	2001	Dec	12538725	2003	Feb	RetractionIn
11714847	2001	Nov	12380567	2002	Aug	RetractionIn
11718967	2001	Nov	12365402	2002	Sep	RetractionIn
11719801	2001	Nov	12621438	2003	Mar	RetractionIn
11757442	2001	Oct	16967079	2006	Sep	RetractionIn
11782260	2001	Oct	18759935	2008	Aug	RetractionIn
11802188	2001	Dec	19086102	2008	Oct	RetractionIn
11805921	2002	Jan	20117681	2010	Jan	RetractionIn
11821158	2002	Feb	19160471	2008	Dec	RetractionIn
11833624	2001		15143841	2004	Jun	RetractionIn
11834606	2002	Feb	19338575	2009	Mar	RetractionIn
11836639	2002	Mar	12389582	2002	Nov	RetractionIn
11847107	2002	Feb	12411512	2002	Nov	RetractionIn
11854211	2002	Mar	12894765	2003	Aug	RetractionIn
11923844	2002	Apr	16964231	2006	Sep	RetractionIn
11950966	2002	Apr	19797431	2009	Oct	RetractionIn
11952142	2002		18788936	2008	Sep	RetractionIn
11964387	2002	May	16819465	2006	Jul	RetractionIn
11970950	2002	Sep	20617570	2010	Jul	RetractionIn
11975760	2002	May	21391334	2011	Mar	RetractionIn
11978815	2002	May	15201338	2004	Jun	RetractionIn
11981149	2002	May	21378551	2011	May	RetractionIn
11996351	2002	Mar	17315305	2007	Jan	RetractionIn
12006295	2002	May	15043050	2004	Mar	RetractionIn
12018841	2002	Apr	20446345	2010	Apr	RetractionIn
12018858	2002	Apr	20446345	2010	Apr	RetractionIn
12024037	2002	Jun	19474393	2009	Jun	RetractionIn
12032625	2002	Apr	12555745	2002	Dec	RetractionIn
12048910	2002	May	12664878	2003	Jan	RetractionIn
12054760	2002	May	12589830	2003	Feb	RetractionIn
12077412	2002	Jun	17690274	2007	Aug	PartialRetractionIn
12082178	2002	Jul	20534577	2010	Jun	RetractionIn
12091196	2002	Jul	16929574	2006	Aug	RetractionIn
12100113			16363099			RetractionIn
12115185	2002	Jun	16948131	2006	Sep	RetractionIn
12117884	2002	Aug	17171815	2006	Dec	RetractionIn
12141316	2002	Jul	19153382	2009	Jan	PartialRetractionIn
12145071	2002	Aug	19299812	2009	Apr	RetractionIn
12163343	2002	Aug	12622114	2003	Feb	RetractionIn
12167854	2002	Aug	16572179	2006	Mar	RetractionIn
12169113	2002	Jul	19250442	2009	Feb	RetractionIn
12174481	2002	Apr	20535876	2010	May	RetractionIn
12190834	2002	Jul	16232191	2005	Nov	RetractionIn
12193301	2002	Jul	16487023	2006	Jan	RetractionIn
12196476	2002	Sep	16936220	2006	Sep	RetractionIn
12198542	2002	Aug	12610631	2003	Feb	RetractionIn
12198783	1999	Sep	11848611	2001	Dec	RetractionIn
12200953	2002	Aug	21540660	2011	Jun	RetractionIn
12208654	2002	Nov	20839386	2010	Oct	RetractionIn
12221164	2002	Sep	15699410	2005	Feb	RetractionIn
12230798	2002	Aug	17181911	2006	Nov	RetractionIn
12297011	2002	May	12476908	2002	Nov	RetractionIn
12351674	2002	Nov	14739439	2004	Jan	RetractionIn
12351788	2002	Sep	12970544	2003	Sep	RetractionIn
12352599	2002	Oct	18767255	2008	Sep	RetractionIn
12358731	2002	Oct	15935080	2005	Jun	RetractionIn
12370398	2002	Oct	20304833	2010	Apr	RetractionIn
12381855	2002	Nov	15452953	2003	Jul	RetractionIn
12388152	2003	Jan	19625678	2009	Aug	RetractionIn
12390292	2002	Dec	15479177	2004	Sep	RetractionIn
12397190	2002	Oct	12578956	2003	Mar	RetractionIn
12398910	2002	Oct	15063148	2004	Apr	RetractionIn
12403353	2002		18340653	2008		RetractionIn
12407422	2002	Nov	16708074	2006	Jun	RetractionIn
12408870	2002	Oct	15025097	2004	Feb	RetractionIn
12409020	2002	Nov	20109595	2010	Jan	RetractionIn
12415108	2002	Nov	19666546	2009	Aug	RetractionIn
12417695	2002	Nov	15004271	2004	Mar	RetractionIn
12417916	2002	Nov	12643272	2003	Jan	RetractionIn
12424250	2003	Jan	21516630			RetractionIn
12426956	2002	Oct	15171212	2004	Apr	RetractionIn
12438421	2002	Nov	17074927	2006	Nov	RetractionIn
12438431	2002	Nov	20368577	2010	Apr	RetractionIn
12446313	2002	Oct	19796251	2009	Sep	RetractionIn
12446318	2002	Oct	21218548	2010	Dec	RetractionIn
12446324	2002	Oct	19796251	2009	Sep	RetractionIn
12454141	2002	Dec	16517936	2006	Mar	RetractionIn
12466290	2002	Dec	15378833	2004	Sep	PartialRetractionIn
12496384	2003	Jan	19155527	2009	Feb	RetractionIn
12517745	2003	Jun	17939192	2007	Sep	PartialRetractionIn
12520731	2002	Dec	14628756	2003	Sep	RetractionIn
12521812	2001	Sep	20144002	2010	Feb	RetractionIn
12531578	2003	Jan	19819378	2009	Oct	RetractionIn
12538722	2003	Feb	16422027	2005	Dec	RetractionIn
12547818	2003	Feb	14645037	2003	Dec	RetractionIn
12554767	2003	May	15277603	2004	Aug	RetractionIn
12560494	2003	Feb	16670428	2006		RetractionIn
12570065	2002	Dec	17457992	2007	Apr	RetractionIn
12585428	2003	Jan	14725315	2003	Dec	RetractionIn
12596084	2003	Jan	14745671	2003	Dec	RetractionIn
12612585	2003	Apr	19710717	2009	Sep	RetractionIn
12615337	2003	Mar	12850266	2003	Jul	RetractionIn
12619192	2003	Feb	18159609	2007	Dec	RetractionIn
12643269	2003	Apr	14649221	2003	Dec	RetractionIn
